Stagione;Competizione;Squadra;Risultato
2019-20;MantraCevapci;ACDF;not assigned
2019-20;MantraCevapci;Agghiaggiande;not assigned
2019-20;MantraCevapci;Big Black Cimamori;not assigned
2019-20;MantraCevapci;CSKA Moscow Mule;not assigned
2019-20;MantraCevapci;Der Holzfaller;not assigned
2019-20;MantraCevapci;FK Partizena;not assigned
2019-20;MantraCevapci;Los Angeles;not assigned
2019-20;MantraCevapci;Olympique Bidet;not assigned
2019-20;MantraCevapci;Parter;not assigned
2019-20;MantraCevapci;Vanndoria;not assigned
2019-20;Coppa Luk;ACDF;not assigned
2019-20;Coppa Luk;Agghiaggiande;not assigned
2019-20;Coppa Luk;Big Black Cimamori;not assigned
2019-20;Coppa Luk;CSKA Moscow Mule;not assigned
2019-20;Coppa Luk;Der Holzfaller;not assigned
2019-20;Coppa Luk;FK Partizena;not assigned
2019-20;Coppa Luk;Los Angeles;not assigned
2019-20;Coppa Luk;Olympique Bidet;not assigned
2019-20;Coppa Luk;Parter;not assigned
2019-20;Coppa Luk;Vanndoria;not assigned
2020-21;MantraCevapci;ACDF;7
2020-21;MantraCevapci;Agghiaggiande;9
2020-21;MantraCevapci;Big Black Cimamori;5
2020-21;MantraCevapci;CSKA Moscow Mule;2
2020-21;MantraCevapci;Der Holzfaller;8
2020-21;MantraCevapci;FK Partizena;6
2020-21;MantraCevapci;Los Angeles;10
2020-21;MantraCevapci;Olympique Bidet;3
2020-21;MantraCevapci;Parter;4
2020-21;MantraCevapci;Vanndoria;1
2020-21;Coppa Luk;ACDF;5° Girone A
2020-21;Coppa Luk;Agghiaggiande;4° Girone A
2020-21;Coppa Luk;Big Black Cimamori;3° Girone A
2020-21;Coppa Luk;CSKA Moscow Mule;Finale
2020-21;Coppa Luk;Der Holzfaller;3° Girone B
2020-21;Coppa Luk;FK Partizena;5° Girone B
2020-21;Coppa Luk;Los Angeles;4° Girone B
2020-21;Coppa Luk;Olympique Bidet;2° Girone B
2020-21;Coppa Luk;Parter;2° Girone A
2020-21;Coppa Luk;Vanndoria;Vincitore
2021-22;MantraCevapci;ACDF;1
2021-22;MantraCevapci;Agghiaggiande;9
2021-22;MantraCevapci;Big Black Cimamori;8
2021-22;MantraCevapci;CSKA Moscow Mule;6
2021-22;MantraCevapci;Der Holzfaller;3
2021-22;MantraCevapci;FK Partizena;5
2021-22;MantraCevapci;Los Angeles;7
2021-22;MantraCevapci;Olympique Bidet;4
2021-22;MantraCevapci;Parter;10
2021-22;MantraCevapci;Vanndoria;2
2021-22;Coppa Luk;ACDF;Finale
2021-22;Coppa Luk;Agghiaggiande;4° Girone A
2021-22;Coppa Luk;Big Black Cimamori;5° Girone A
2021-22;Coppa Luk;CSKA Moscow Mule;Vincitore
2021-22;Coppa Luk;Der Holzfaller;Semifinale
2021-22;Coppa Luk;FK Partizena;3° Girone B
2021-22;Coppa Luk;Los Angeles;4° Girone B
2021-22;Coppa Luk;Olympique Bidet;Semifinale
2021-22;Coppa Luk;Parter;5° Girone B
2021-22;Coppa Luk;Vanndoria;3° Girone A
2021-22;Supercoppa Ivanica;Vanndoria;Vincitore
2021-22;Supercoppa Ivanica;CSKA Moscow Mule;Finale
2021-22;ULMI;Olympique Bidet;Gironi CONFL
2021-22;ULMI;CSKA Moscow Mule;Gironi EUL
2021-22;ULMI;Parter;Gironi CONFL
2021-22;ULMI;Big Black Cimamori;Prel CONFL
2021-22;ULMI;Vanndoria;Semifinale CHL
