Stagione;Pos;Percentuale;Fisso;Soglia
2019-20;1;0,17;85;-5
2019-20;2;0,135;65;-15
2019-20;3;0,105;55;-25
2019-20;4;0,0875;40;-40
2019-20;5;0,775;35;-50
2019-20;6;0,07;30;-60
2019-20;7;0,0625;25;-70
2019-20;8;0,055;20;-80
2019-20;9;0,0475;15;-90
2019-20;10;0,04;10;-100
2020-21;1;0,17;85;0
2020-21;2;0,135;65;0
2020-21;3;0,105;55;-5
2020-21;4;0,0875;40;-20
2020-21;5;0,0775;35;-30
2020-21;6;0,07;30;-40
2020-21;7;0,0625;25;-50
2020-21;8;0,055;20;-60
2020-21;9;0,0475;15;-70
2020-21;10;0,04;10;-80
2021-22;1;0,18;85;0
2021-22;2;0,15;65;0
2021-22;3;0,12;55;-5
2021-22;4;0,1;40;-20
2021-22;5;0,09;35;-30
2021-22;6;0,08;30;-38
2021-22;7;0,07;25;-44
2021-22;8;0,065;20;-50
2021-22;9;0,06;15;-54
2021-22;10;0,055;10;-56
2022-23;1;0,18;85;0
2022-23;2;0,15;65;0
2022-23;3;0,12;55;-5
2022-23;4;0,1;40;-20
2022-23;5;0,09;35;-30
2022-23;6;0,08;30;-38
2022-23;7;0,07;25;-44
2022-23;8;0,065;20;-50
2022-23;9;0,06;15;-54
2022-23;10;0,055;10;-56
