ID;Nome;Data_nascita;Luogo_nascita;Nazionalita;url
ABRAHAM;ABRAHAM Tammy;02/10/1997;Londra;Inghilterra;https://img.a.transfermarkt.technology/portrait/header/331726-1661352750.jpg?lm=1
ACERBI;ACERBI Francesco;10/02/1988;Vizzolo Predabissi;Italia;https://img.a.transfermarkt.technology/portrait/header/131075-1595858393.jpg?lm=1
ADEKANYE;ADEKANYE Bobby;14/02/1999;Ibadan;Nigeria;
ADJAPONG;ADJAPONG Claud;06/05/1998;Modena;Italia;
ADLI;ADLI Yacine;29/07/2000;Vitry-sur-Seine;Francia;https://img.a.transfermarkt.technology/portrait/header/395236-1656579831.jpg?lm=1
ADORANTE;ADORANTE Andrea;05/02/2000;Parma;Italia;
ADRIEN SILVA;ADRIEN SILVA;15/03/1989;Angouleme;Portogallo;
AFENA-GYAN;AFENA-GYAN Felix;19/01/2003;Sunyani;Ghana;https://img.a.transfermarkt.technology/portrait/header/872380-1634566176.jpg?lm=1
AGOUME;AGOUME Lucien;09/02/2002;Yaounde;Francia;https://img.a.transfermarkt.technology/portrait/header/569384-1656577561.jpg?lm=1
AGUDELO;AGUDELO Kevin;14/11/1998;Puerto Caicedo;Colombia;https://img.a.transfermarkt.technology/portrait/header/587458-1602505535.jpg?lm=1
AINA;AINA Ola;08/10/1996;Southwark;Nigeria;https://img.a.transfermarkt.technology/portrait/header/236490-1661515120.jpg?lm=1
ALASTRA;ALASTRA Fabrizio;01/10/1997;Erice;Italia;
ALEX SANDRO;ALEX SANDRO;26/01/1991;Catanduva;Brasile;https://img.a.transfermarkt.technology/portrait/header/79960-1661351746.jpg?lm=1
ALFONSO;ALFONSO Enrico;04/05/1988;Padova;Italia;
ALLAN;ALLAN;08/01/1991;Rio de Janeiro;Brasile;
ALTARE;ALTARE Giorgio;09/08/1998;Bergamo;Italia;
ALVAREZ A.;ALVAREZ Agustin;19/05/2001;San Bautista;Uruguay;https://img.a.transfermarkt.technology/portrait/header/812625-1654863388.jpg?lm=1
AMIAN;AMIAN Kelvin;08/02/1998;Tolosa;Francia;https://img.a.transfermarkt.technology/portrait/header/344072-1638174640.jpg?lm=1
AMIRI;AMIRI Nadiem;27/10/1996;Ludwigshafen am Rhein;Germania;
AMPADU;AMPADU Ethan;14/09/2000;Exeter;Galles;https://img.a.transfermarkt.technology/portrait/header/392771-1658829697.jpg?lm=1
AMRABAT;AMRABAT Sofyan;31/03/1987;Naarden;Marocco;https://img.a.transfermarkt.technology/portrait/header/287579-1594640348.jpg?lm=1
ANDERSON A;ANDERSON Andre;23/09/1999;Maracai;Brasile;
ANDRENACCI;ANDRENACCI Lorenzo;02/01/1995;Fermo;Italia;
ANKERSEN;ANKERSEN Peter;22/09/1990;Esbjerg;Danimarca;
ANSALDI;ANSALDI Cristian;20/09/1986;Rosario (ARG);Argentina;
ANTISTE;ANTISTE Janis;18/08/2002;Tolosa;Francia;https://img.a.transfermarkt.technology/portrait/header/538974-1604253099.jpg?lm=1
ANTONUCCI;ANTONUCCI Mirko;11/03/1999;Roma;Italia;
ARAMU;ARAMU Mattia;14/05/1995;Ciriè;Italia;
ARANA;ARANA Guilherme;14/04/1997;San Paolo;Brasile;
ARESTI;ARESTI Simone;15/03/1986;Carbonia;Italia;
ARMINI;ARMINI Nicolò;07/03/2001;Marino;Italia;
ARNAUTOVIC;ARNAUTOVIC Marko;19/04/1989;Vienna;Austria;https://img.a.transfermarkt.technology/portrait/header/41384-1661268772.jpg?lm=1
ARSLAN;ARSLAN Tolgay;16/08/1990;Paderborn;Germania;
ARTHUR;ARTHUR;12/08/1996;Goiana;Brasile;https://img.a.transfermarkt.technology/portrait/header/362842-1599988056.jpg?lm=1
