Stagione;Data;Da;A;Nome;Spesa_A;Entrata_Da;Tipo_operazione;Costo_contratto;TP;Primavera
2019-20;2019-09-03;;Der Holzfaller;SPORTIELLO;0,1;0,0;DEF;0,1;2023-06-30;
2019-20;2019-09-03;;Der Holzfaller;GOLLINI;1,25;0,0;DEF;0,2;2021-08-31;
2019-20;2019-09-03;;Agghiaggiande;PINSOGLIO;0,15;0,0;DEF;0,02;2020-01-31;
2019-20;2019-09-03;;FK Partizena;DRAGOWSKI;0,5;0,0;DEF;0,1;2022-07-19;
2019-20;2019-09-03;;FK Partizena;RADU I.;0,2;0,0;DEF;0,1;2020-01-02;
2019-20;2019-09-03;;Vanndoria;MIRANTE;0,05;0,0;DEF;0,05;2021-08-31;
2019-20;2019-09-03;;CSKA Moscow Mule;SKORUPSKI;0,5;0,0;DEF;0,1;2020-09-15;
2019-20;2019-09-03;;Parter;SEPE;0,45;0,0;DEF;0,1;2020-01-02;
2019-20;2019-09-03;;Agghiaggiande;PERIN;0,15;0,0;DEF;0,05;2020-09-03;
2019-20;2019-09-03;;Parter;HANDANOVIC;1,9;0,0;DEF;0,05;2021-06-30;
2019-20;2019-09-03;;Agghiaggiande;BUFFON;0,6;0,0;DEF;0,02;2021-06-30;
2019-20;2019-09-03;;Olympique Bidet;BERISHA E;0,3;0,0;DEF;0,05;2020-09-01;
2019-20;2019-09-03;;ACDF;DONNARUMMA G.;1,6;0,0;DEF;0,15;2021-07-15;
2019-20;2019-09-03;;CSKA Moscow Mule;GABRIEL;0,25;0,0;DEF;0,02;2020-08-31;
2019-20;2019-09-03;;ACDF;REINA;0,1;0,0;DEF;0,05;2020-09-11;
2019-20;2019-09-03;;Agghiaggiande;SZCZESNY;2,4;0,0;DEF;0,1;2026-06-30;
2019-20;2019-09-03;;CSKA Moscow Mule;CONSIGLI;0,25;0,0;DEF;0,15;2021-08-21;
2019-20;2019-09-03;;Parter;PADELLI;0,1;0,0;DEF;0,05;2020-09-02;
2019-20;2019-09-03;;Olympique Bidet;STRAKOSHA;1,1;0,0;DEF;0,15;2022-07-16;
2019-20;2019-09-03;;Big Black Cimamori;KARNEZIS;0,15;0,0;DEF;0,05;2020-10-11;
2019-20;2019-09-03;;ACDF;IZZO;1,1;0,0;DEF;0,1;2020-09-11;
2019-20;2019-09-03;;Big Black Cimamori;TONELLI;0,7;0,0;DEF;0,05;2021-01-04;
