Stagione;Modulo;Ruolo;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11
2019-20;343;Por;1;0;0;0;0;0;0;0;0;0;0
2019-20;343;"DD; DS; DC";0;1;1;1;0;0;0;0;0;0;0
2019-20;343;DC;0;1;1;1;0;0;0;0;0;0;0
2019-20;343;"DD; DC";0;1;1;1;0;0;0;0;0;0;0
2019-20;343;"DS; DC";0;1;1;1;0;0;0;0;0;0;0
2019-20;343;"DD; DC; E";0;1;1;1;1;0;0;1;0;0;0
2019-20;343;"DS; DC; E";0;1;1;1;1;0;0;1;0;0;0
2019-20;343;"DD; DS; E";0;0;0;0;1;0;0;1;0;0;0
2019-20;343;"DS; E";0;0;0;0;1;0;0;1;0;0;0
2019-20;343;"DD; E";0;0;0;0;1;0;0;1;0;0;0
2019-20;343;E;0;0;0;0;1;0;0;1;0;0;0
2019-20;343;"E; M";0;0;0;0;1;1;0;1;0;0;0
2019-20;343;"E; W";0;0;0;0;1;0;0;1;1;0;1
2019-20;343;"E; C";0;0;0;0;1;1;1;1;0;0;0
2019-20;343;"M; C";0;0;0;0;0;1;1;0;0;0;0
2019-20;343;M;0;0;0;0;0;1;0;0;0;0;0
2019-20;343;"C; T";0;0;0;0;0;1;1;0;0;0;0
2019-20;343;C;0;0;0;0;0;1;1;0;0;0;0
2019-20;343;"C; W";0;0;0;0;0;1;1;0;1;0;1
2019-20;343;"C; W; T";0;0;0;0;0;1;1;0;1;0;1
2019-20;343;"W; A";0;0;0;0;0;0;0;0;1;1;1
2019-20;343;W;0;0;0;0;0;0;0;0;1;0;1
2019-20;343;"W; T";0;0;0;0;0;0;0;0;1;0;1
2019-20;343;"W; T; A";0;0;0;0;0;0;0;0;1;1;1
2019-20;343;"T; A";0;0;0;0;0;0;0;0;1;1;1
2019-20;343;T;0;0;0;0;0;0;0;0;0;0;0
2019-20;343;A;0;0;0;0;0;0;0;0;1;1;1
2019-20;343;PC;0;0;0;0;0;0;0;0;0;1;0
2019-20;3412;Por;1;0;0;0;0;0;0;0;0;0;0
2019-20;3412;"DD; DS; DC";0;1;1;1;0;0;0;0;0;0;0
2019-20;3412;DC;0;1;1;1;0;0;0;0;0;0;0
2019-20;3412;"DD; DC";0;1;1;1;0;0;0;0;0;0;0
2019-20;3412;"DS; DC";0;1;1;1;0;0;0;0;0;0;0
2019-20;3412;"DD; DC; E";0;1;1;1;1;0;0;1;0;0;0
2019-20;3412;"DS; DC; E";0;1;1;1;1;0;0;1;0;0;0
2019-20;3412;"DD; DS; E";0;0;0;0;1;0;0;1;0;0;0
2019-20;3412;"DS; E";0;0;0;0;1;0;0;1;0;0;0
2019-20;3412;"DD; E";0;0;0;0;1;0;0;1;0;0;0
2019-20;3412;E;0;0;0;0;1;0;0;1;0;0;0
2019-20;3412;"E; M";0;0;0;0;1;1;0;1;0;0;0
2019-20;3412;"E; W";0;0;0;0;1;0;0;1;0;0;0
2019-20;3412;"E; C";0;0;0;0;1;1;1;1;0;0;0
2019-20;3412;"M; C";0;0;0;0;0;1;1;0;0;0;0
2019-20;3412;M;0;0;0;0;0;1;0;0;0;0;0
