Nome;Stagione;QI;QA;Diff;VI;VA;VFA
SPORTIELLO;2019-20;1;2;1;0,1;0,15;0,12
MIRANTE;2019-20;1;1;0;0,05;0,05;0,05
SKORUPSKI;2019-20;10;7;-3;0,5;0,35;0,42
SEPE;2019-20;14;13;-1;0,15;0,1;0,12
PERIN;2019-20;1;4;3;0,15;0,3;0,23
HANDANOVIC;2019-20;18;15;-3;1,9;1,75;1,82
BUFFON;2019-20;4;6;2;0,6;0,7;0,65
BERISHA E;2019-20;8;9;1;0,3;0,35;0,32
DONNARUMMA G.;2019-20;15;12;-3;1,6;1,45;1,53
GABRIEL;2019-20;6;8;2;0,25;0,35;0,3
REINA;2019-20;1;1;0;0,1;0,1;0,1
SZCZESNY;2019-20;16;14;-2;2,4;2,3;2,35
CONSIGLI;2019-20;10;8;-2;0,25;0,15;0,2
PADELLI;2019-20;1;1;0;0,1;0,1;0,1
KARNEZIS;2019-20;1;1;0;0,15;0,15;0,15
MERET;2019-20;13;8;-5;1,75;1,5;1,62
GOLLINI;2019-20;13;9;-4;1,25;1,05;1,15
AUDERO;2019-20;10;7;-3;0,55;0,4;0,48
RADU I.;2019-20;5;4;-1;0,25;0,2;0,23
DRAGOWSKI;2019-20;10;10;0;0,5;0,5;0,5
PINSOGLIO;2019-20;1;1;0;0,15;0,15;0,15
STRAKOSHA;2019-20;14;16;2;1,1;1,2;1,15
CRAGNO;2019-20;11;1;-10;0,5;0,05;0,28
SIRIGU;2019-20;14;9;-5;1,35;1,1;1,23
OSPINA;2019-20;3;4;1;0,4;0,45;0,43
PROTO;2019-20;1;1;0;0,1;0,1;0,1
MUSSO;2019-20;9;10;1;0,45;0,5;0,47
TERRACCIANO;2019-20;1;1;0;0,05;0,05;0,05
OLSEN;2019-20;1;9;8;0,05;0,45;0,25
PAU LOPEZ;2019-20;13;9;-4;0,85;0,65;0,75
JORONEN;2019-20;8;9;1;0,25;0,3;0,28
CONTI;2019-20;5;3;-2;0,55;0,45;0,5
MASIELLO;2019-20;7;2;-5;0,25;0,05;0,15
GAGLIOLO;2019-20;9;9;0;0,35;0,35;0,35
CACCIATORE;2019-20;8;2;-6;0,4;0,1;0,25
HYSAJ;2019-20;7;2;-5;0,95;0,7;0,82
MARIO RUI;2019-20;5;3;-2;0,7;0,6;0,65
TONELLI;2019-20;5;3;-2;0,7;0,6;0,65
IZZO;2019-20;17;6;-11;1,1;0,55;0,83
GHIGLIONE;2019-20;5;11;6;0,15;0,45;0,3
BIRAGHI;2019-20;10;6;-4;0,2;0,05;0,12
D'AMBROSIO;2019-20;12;6;-6;0,9;0,6;0,75
BONUCCI;2019-20;20;19;-1;2,5;2,45;2,48
RUGANI;2019-20;7;1;-6;1,05;0,75;0,9
ASAMOAH;2019-20;7;5;-2;0,15;0,05;0,1
DE VRIJ;2019-20;13;19;6;1,9;2,2;2,05
RADU;2019-20;6;7;1;0,4;0,45;0,43
CALABRIA;2019-20;9;3;-6;0,95;0,65;0,8
DE SCIGLIO;2019-20;2;1;-1;0,6;0,55;0,57
ZAPATA C.;2019-20;9;2;-7;1,2;0,85;1,02
GHOULAM;2019-20;12;1;-11;1,6;1,05;1,33
KOULIBALY;2019-20;14;3;-11;1,9;1,35;1,62
MANOLAS;2019-20;14;10;-4;1,35;1,15;1,25
ROMAGNOLI;2019-20;9;10;1;1,05;1,1;1,08
FLORENZI;2019-20;6;5;-1;0,25;0,2;0,23
DE SILVESTRI;2019-20;11;4;-7;1,05;0,7;0,88
ACERBI;2019-20;14;17;3;1,1;1,25;1,18
DELL'ORCO;2019-20;5;1;-4;0,2;0,05;0,12
PELUSO;2019-20;4;2;-2;0,25;0,15;0,2
MAKSIMOVIC;2019-20;5;6;1;0,7;0,75;0,72
ZAPPACOSTA;2019-20;9;1;-8;0,9;0,5;0,7
FARAONI;2019-20;5;15;10;0,4;0,9;0,65
CHIRICHES;2019-20;4;1;-3;0,15;0,05;0,1
ALEX SANDRO;2019-20;7;8;1;1,5;1,55;1,52
TOLOI;2019-20;9;12;3;0,85;1;0,93
FELIPE;2019-20;6;2;-4;0,65;0,45;0,55
