Stagione;Nome;Ruolo
2019-20;ACERBI;DC
2019-20;ADEKANYE;A
2019-20;ADJAPONG;"DD; E"
2019-20;ADOPO;C
2019-20;ADORANTE;PC
2019-20;AGOUME;C
2019-20;AGUDELO;C
2019-20;AINA;E
2019-20;ALASTRA;Por
2019-20;ALEX SANDRO;"DS; E"
2019-20;ALFONSO;Por
2019-20;ALLAN;"M; C"
2019-20;AMRABAT;"E; M"
2019-20;ANDERSON A;T
2019-20;ANDRENACCI;Por
2019-20;ANKERSEN;"DD; E"
2019-20;ANSALDI;E
2019-20;ANTONUCCI;A
2019-20;ARANA;E
2019-20;ARESTI;Por
2019-20;ASAMOAH;"DS; E"
2019-20;AUDERO;Por
2019-20;AUGELLO;"DS; E"
2019-20;AVOGADRI;Por
2019-20;AYE';PC
2019-20;BABACAR;PC
2019-20;BADELJ;"M; C"
2019-20;BADU;"M; C"
2019-20;BAHLOULI;A
2019-20;BALOTELLI;PC
2019-20;BANI;DC
2019-20;BARAK;T
2019-20;BARELLA;"M; C"
2019-20;BARILLA';C
2019-20;BARRECA;"DS; E"
2019-20;BARRETO;"M; C"
2019-20;BARROW;PC
2019-20;BASELLI;"C; T"
2019-20;BASTONI;DC
2019-20;BASTOS;DC
2019-20;BEGOVIC;Por
2019-20;BEHRAMI;"M; C"
2019-20;BELOTTI;PC
2019-20;BENASSI;C
2019-20;BENNACER;"M; C"
2019-20;BENTANCUR;C
2019-20;BENZAR;"DD; E"
2019-20;BERARDI;A
2019-20;BERARDI A;Por
2019-20;BERENGUER;W
2019-20;BERESZYNSKI;"DD; E"
2019-20;BERISHA E;Por
2019-20;BERISHA V;"C; T"
2019-20;BERNARDESCHI;"W; A"
2019-20;BERNI;Por
2019-20;BERTOLACCI;C
2019-20;BESSA;"C; T"
2019-20;BIANDA;DC
2019-20;BIGLIA;"M; C"
2019-20;BIRAGHI;"DS; E"
2019-20;BIRASCHI;"DD; DC"
2019-20;BIRSA;T
2019-20;BISOLI;"M; C"
2019-20;BJARNASON;C
2019-20;BLEVE;Por
2019-20;BOATENG;A
2019-20;BOCCHETTI;"DS; DC"
2019-20;BOGA;"W; A"
2019-20;BONAVENTURA;"C; W; T"
2019-20;BONAZZOLI;PC
2019-20;BONIFAZI;DC
2019-20;BONUCCI;DC
2019-20;BORGHETTO;Por
2019-20;BORINI;W
2019-20;BORJA VALERO;C
2019-20;BOUAH;"DD; E"
2019-20;BOURABIA;C
2019-20;BRANCOLINI;Por
2019-20;BREMER;DC
2019-20;BROZOVIC;C
2019-20;BRUGMAN;"M; C"
2019-20;BRUNO ALVES;DC
2019-20;BRUNO PERES;"DD; E"
2019-20;BUFFON;Por
2019-20;BUONGIORNO;DC
2019-20;CACCIATORE;"DD; DS; E"
2019-20;CACERES;"DD; DC"
2019-20;CAICEDO;PC
