Data;Nome;Titolarita;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Giornata;Stagione
16/09/2019;ZIELINSKI;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;ZAPATA D.;1;7,5;1;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;GOSENS;0;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;VERETOUT;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MASIELLO;0;6;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;VERDI;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;VAVRO;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;FREULER;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;TOMIYASU;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PASALIC;0;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;TOLOI;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MURIEL;0;7;0;0;0;0;1;0;0;0;0;3;2019-20
16/09/2019;SZCZESNY;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SKORUPSKI;1;6;0;3;0;0;0;0;0;0;0;3;2019-20
16/09/2019;BANI;0;6,5;1;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;DENSWIL;1;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;DIJKS;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SUSO;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SORIANO;0;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;STRAKOSHA;1;5,5;0;2;0;0;0;0;0;0;0;3;2019-20
16/09/2019;DZEMAILI;0;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;POLI;0;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SKRINIAR;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PALACIO;0;7,5;1;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;SANSONE;0;6;0;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;SANTANDER;0;5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;SKOV OLSEN;0;;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;JORONEN;0;5,5;0;4;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SIRIGU;1;5,5;0;2;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SIMEONE;1;7;1;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MATEJU;1;5,5;0;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;SABELLI;0;5,5;0;0;0;0;0;1;0;0;0;3;2019-20
16/09/2019;TONALI;0;6,5;0;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;ROMULO;0;6,5;0;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;ZMRHAL;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;BISOLI;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;DESSENA;0;4,5;0;0;0;0;0;0;0;1;0;3;2019-20
16/09/2019;SPALEK;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;AYE';0;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;DONNARUMMA AL;0;7,5;2;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MATRI;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;OLSEN;0;7;0;1;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PISACANE;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PELLEGRINI LU.;0;6;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;CACCIATORE;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SENSI;1;7;1;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;KLAVAN;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;LYKOGIANNIS;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;NANDEZ;0;7;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;SCHONE;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CIGARINI;0;7;0;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;IONITA;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;ROG;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SANCHEZ;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;JOAO PEDRO;1;6;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;DRAGOWSKI;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;LIROLA;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CECCHERINI;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;RUIZ;1;6;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;PEZZELLA GER.;0;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;RODRIGUEZ R.;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CACERES;0;6,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;RIBERY;1;7;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CASTROVILLI;0;7;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;BADELJ;0;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;RADU I.;1;6;0;2;0;0;0;0;0;0;0;3;2019-20
16/09/2019;RADU;1;5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;ZURKOWSKI;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;BOATENG;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PULGAR;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;ANKERSEN;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;BARRECA;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PINAMONTI;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;GHIGLIONE;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;ROMERO;0;6;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;ZAPATA C.;0;5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;LERAGER;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;RADOVANOVIC;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PIATEK;1;6,5;0;0;0;0;1;0;1;0;0;3;2019-20
16/09/2019;SAPONARA;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;KOUAME';1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PANDEV;0;;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;PELLEGRINI LO.;1;8;0;0;0;0;0;0;1;0;3;3;2019-20
16/09/2019;PAU LOPEZ;1;6;0;2;0;0;0;0;0;0;0;3;2019-20
16/09/2019;ASAMOAH;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;ORSOLINI;1;7,5;1;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;OBIANG;1;4,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;MULDUR;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MKHITARYAN;1;7;1;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MILINKOVIC-SAVIC;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MILENKOVIC;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;GAGLIARDINI;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MERTENS;1;7,5;2;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MERET;1;7;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MARTINEZ L.;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;POLITANO;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MEITE';1;5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MEDEL;1;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;MARIO RUI;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MANCINI;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;DE LIGT;1;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;DANILO;1;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;DOUGLAS COSTA;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;LUKAKU;1;5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MATUIDI;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PJANIC;1;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;BENTANCUR;0;6;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;BERNARDESCHI;1;5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CUADRADO;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;RONALDO;1;5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;HIGUAIN;1;5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;LUIS ALBERTO;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;LLORENTE;1;6,5;0;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;PATRIC;0;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;LAZZARI;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;KURTIC;1;7;1;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;LULIC;0;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;KOULIBALY;1;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;PAROLO;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;KOLAROV;1;7;0;0;0;0;0;0;0;0;1;3;2019-20
16/09/2019;LUCAS LEIVA;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;KHEDIRA;1;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CAICEDO;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CORREA;0;5,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;KESSIE';1;5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;GABRIEL;0;6,5;0;1;0;0;0;0;0;0;0;3;2019-20
16/09/2019;CALDERONI;0;7;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;RISPOLI;0;6;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;LUCIONI;0;6,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;ROSSETTINI;0;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;MAJER;0;7;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;MANCOSU;0;7;1;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;SHAKHOV;0;;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;TABANELLI;0;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
16/09/2019;TACHTSIDIS;0;6;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;BABACAR;0;6,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;FALCO;0;7,5;0;0;0;0;0;0;0;0;0;3;2019-20
16/09/2019;LAPADULA;0;5,5;0;0;0;0;0;0;1;0;0;3;2019-20
