Stagione;Data;Da;A;Nome;Spesa_A;Entrata_Da;Tipo_operazione;Costo_contratto;TP;Primavera
2019-20;03/09/2019;;Olympique Bidet;BERISHA E;0,3;0,0;DEF;0,05;01/09/2020;
2019-20;03/09/2019;;Olympique Bidet;STRAKOSHA;1,1;0,0;DEF;0,15;16/07/2022;
2019-20;03/09/2019;;Olympique Bidet;PROTO;0,1;0,0;DEF;0,05;31/01/2021;
2019-20;03/09/2019;;Olympique Bidet;MASIELLO;0,25;0,0;DEF;0,02;30/06/2021;
2019-20;03/09/2019;;Olympique Bidet;RADU;0,55;0,0;DEF;0,05;02/01/2020;
2019-20;03/09/2019;;Olympique Bidet;ACERBI;1,1;0,0;DEF;0,15;22/08/2022;
2019-20;03/09/2019;;Olympique Bidet;CIONEK;0,25;0,0;DEF;0,05;01/09/2020;
2019-20;03/09/2019;;Olympique Bidet;LUKAKU J.;0,25;0,0;DEF;0,1;05/10/2020;
2019-20;03/09/2019;;Olympique Bidet;BASTOS;0,4;0,0;DEF;0,1;23/10/2020;
2019-20;03/09/2019;;Olympique Bidet;GODIN;0,85;0,0;DEF;0,15;12/01/2022;
2019-20;03/09/2019;;Olympique Bidet;COLLEY;0,25;0,0;DEF;0,05;03/01/2022;
2019-20;03/09/2019;;Olympique Bidet;IGOR;0,25;0,0;DEF;0,05;03/01/2022;
2019-20;03/09/2019;;Olympique Bidet;KURTIC;0,6;0,0;DEF;0,1;04/01/2021;
2019-20;03/09/2019;;Olympique Bidet;LULIC;1,0;0,0;DEF;0,1;01/07/2021;
2019-20;03/09/2019;;Olympique Bidet;PAROLO;1,15;0,0;DEF;0,05;30/06/2021;
2019-20;03/09/2019;;Olympique Bidet;MISSIROLI;0,25;0,0;DEF;0,02;31/08/2020;
2019-20;03/09/2019;;Olympique Bidet;FARES;0,25;0,0;DEF;0,1;18/08/2021;
2019-20;03/09/2019;;Olympique Bidet;MILINKOVIC-SAVIC;1,8;0,0;DEF;0,15;17/07/2021;
2019-20;03/09/2019;;Olympique Bidet;ANSALDI;0,5;0,0;DEF;0,05;30/06/2022;
2019-20;03/09/2019;;Olympique Bidet;DI FRANCESCO F;0,45;0,0;DEF;0,15;28/01/2020;
2019-20;03/09/2019;;Olympique Bidet;JANKTO;0,25;0,0;DEF;0,1;20/08/2021;
2019-20;03/09/2019;;Olympique Bidet;MARUSIC;0,4;0,0;DEF;0,02;31/08/2020;
2019-20;03/09/2019;;Olympique Bidet;LAZZARI;1,3;0,0;DEF;0,2;30/06/2024;
2019-20;03/09/2019;;Olympique Bidet;BERISHA V;0,4;0,0;DEF;0,1;30/01/2020;
2019-20;03/09/2019;;Olympique Bidet;LERAGER;0,3;0,0;DEF;0,05;05/01/2021;
2019-20;03/09/2019;;Olympique Bidet;JONY;0,55;0,0;DEF;0,05;22/09/2020;
2019-20;03/09/2019;;Olympique Bidet;OBIANG;0,8;0,0;DEF;0,1;03/01/2020;
2019-20;03/09/2019;;Olympique Bidet;CORREA;1,65;0,0;DEF;0,15;30/06/2023;
2019-20;03/09/2019;;Olympique Bidet;MURIEL;1,0;0,0;DEF;0,05;14/01/2021;
2019-20;03/09/2019;;Olympique Bidet;IMMOBILE;2,7;0,0;DEF;0,2;30/06/2024;
2019-20;03/09/2019;;Olympique Bidet;CAICEDO;0,95;0,0;DEF;0,05;30/06/2021;
2019-20;03/09/2019;;Olympique Bidet;SANCHEZ;1,45;0,0;DEF;0,05;10/08/2022;
2019-20;03/09/2019;;Olympique Bidet;ADEKANYE;0,6;0,0;DEF;0,05;05/10/2020;
